"configuration","problem","model","data_file","status","time","run","objective"
"mzn_sat-open_wbo-mixed-{'f_SAT_fzn_disjunctive_order_alternative': True, 'f_slack_channel': 'EQUALITY'}","jsswet","jsswet.mzn","jsswet_ft06.dzn","","0.6","raw","2"
"mzn_sat-open_wbo-mixed-{'f_SAT_fzn_disjunctive_order_alternative': True, 'f_slack_channel': 'EQUALITY'}","jsswet","jsswet.mzn","jsswet_ft06.dzn","","0.61","raw","2"
"mzn_sat-open_wbo-binary","jsswet","jsswet.mzn","jsswet_abz9.dzn","","607.54","raw","1708"
"mzn_sat-open_wbo-binary","jsswet","jsswet.mzn","jsswet_abz9.dzn","","607.62","raw","1708"
"mzn_sat-open_wbo-mixed-{'f_SAT_fzn_disjunctive_order_alternative': True, 'f_slack_channel': 'EQUALITY'}","jsswet","jsswet.mzn","jsswet_swv06.dzn","","221.35","raw","192"
"mzn_sat-open_wbo-mixed-{'f_SAT_fzn_disjunctive_order_alternative': True, 'f_slack_channel': 'EQUALITY'}","jsswet","jsswet.mzn","jsswet_swv06.dzn","","222.43","raw","192"
"mzn_sat-open_wbo-binary","jsswet","jsswet.mzn","jsswet_la16.dzn","","2.75","raw","49"
"mzn_sat-open_wbo-binary","jsswet","jsswet.mzn","jsswet_la16.dzn","","2.76","raw","49"
"mzn_sat-open_wbo-mixed-{'f_SAT_fzn_disjunctive_order_alternative': True, 'f_slack_channel': 'EQUALITY'}","jsswet","jsswet.mzn","jsswet_abz8.dzn","","59.28","raw","3"
"mzn_sat-open_wbo-mixed-{'f_SAT_fzn_disjunctive_order_alternative': True, 'f_slack_channel': 'EQUALITY'}","jsswet","jsswet.mzn","jsswet_abz8.dzn","","59.69","raw","3"
"mzn_sat-open_wbo-order-{'f_SAT_fzn_disjunctive_order_alternative': True}","jsswet","jsswet.mzn","jsswet_la04.dzn","","13.34","raw","205"
"mzn_sat-open_wbo-order-{'f_SAT_fzn_disjunctive_order_alternative': True}","jsswet","jsswet.mzn","jsswet_la04.dzn","","13.39","raw","205"
"mzn_sat-open_wbo-mixed-{'f_SAT_fzn_disjunctive_order_alternative': True, 'f_slack_channel': 'DOUBLE_INEQUALITY'}","jsswet","jsswet.mzn","jsswet_la03.dzn","","10.74","raw","101"
"mzn_sat-open_wbo-mixed-{'f_SAT_fzn_disjunctive_order_alternative': True, 'f_slack_channel': 'DOUBLE_INEQUALITY'}","jsswet","jsswet.mzn","jsswet_la03.dzn","","10.79","raw","101"
"mzn_sat-open_wbo-mixed-{'f_SAT_fzn_disjunctive_order_alternative': True, 'f_slack_channel': 'DOUBLE_INEQUALITY'}","jsswet","jsswet.mzn","jsswet_swv05.dzn","","133.36","raw","155"
"mzn_sat-open_wbo-mixed-{'f_SAT_fzn_disjunctive_order_alternative': True, 'f_slack_channel': 'DOUBLE_INEQUALITY'}","jsswet","jsswet.mzn","jsswet_swv05.dzn","","133.979999","raw","155"
"mzn_sat-open_wbo-mixed-{'f_SAT_fzn_disjunctive_order_alternative': True, 'f_slack_channel': 'INEQUALITY'}","jsswet","jsswet.mzn","jsswet_swv09.dzn","","221.09","raw","101"
"mzn_sat-open_wbo-mixed-{'f_SAT_fzn_disjunctive_order_alternative': True, 'f_slack_channel': 'INEQUALITY'}","jsswet","jsswet.mzn","jsswet_swv09.dzn","","222.12","raw","101"
"mzn_sat-open_wbo-mixed-{'f_SAT_fzn_disjunctive_order_alternative': True, 'f_slack_channel': 'INEQUALITY'}","jsswet","jsswet.mzn","jsswet_orb03.dzn","","29.08","raw","69"
"mzn_sat-open_wbo-mixed-{'f_SAT_fzn_disjunctive_order_alternative': True, 'f_slack_channel': 'INEQUALITY'}","jsswet","jsswet.mzn","jsswet_orb03.dzn","","29.27","raw","69"
"mzn_sat-open_wbo-mixed-{'f_SAT_fzn_disjunctive_order_alternative': True, 'f_slack_channel': 'DOUBLE_INEQUALITY'}","jsswet","jsswet.mzn","jsswet_la35.dzn","","310.45","raw","96"
"mzn_sat-open_wbo-mixed-{'f_SAT_fzn_disjunctive_order_alternative': True, 'f_slack_channel': 'DOUBLE_INEQUALITY'}","jsswet","jsswet.mzn","jsswet_la35.dzn","","311.55","raw","96"
"mzn_sat-open_wbo-order-{'f_SAT_fzn_disjunctive_order_alternative': True}","jsswet","jsswet.mzn","jsswet_la20.dzn","","22.57","raw","16"
"mzn_sat-open_wbo-order-{'f_SAT_fzn_disjunctive_order_alternative': True}","jsswet","jsswet.mzn","jsswet_la20.dzn","","22.75","raw","16"
