"configuration","problem","model","data_file","status","time","flatBoolVars","run","bimanderTotalM","error","nSolutions","objective","method","flatIntVars","nClauseVariables","paths","solveTime","flatTime","evaluatedHalfReifiedConstraints","flatIntConstraints","processFlatZincTime","bimanderTotalOffset","flatBoolConstraints","bimanderTotalAbsoluteBalance","nVariables","bimanderCount","bimanderTotalN","eliminatedImplications","nClauses"
"mzn_sat-open_wbo-mixed-{'f_SAT_fzn_disjunctive_order_alternative': True, 'f_slack_channel': 'INEQUALITY'}","jsswet","jsswet.mzn","jsswet_la20.dzn","OPTIMAL_SOLUTION","28.300101274973713","204090","raw","0","","2","16","minimize","11870","854366","0","1.8859","21.5589","260","11869","1.1164","0","389601","0","145700","0","0","19796","338748"
"mzn_sat-open_wbo-mixed-{'f_SAT_fzn_disjunctive_order_alternative': True, 'f_slack_channel': 'INEQUALITY'}","jsswet","jsswet.mzn","jsswet_orb02.dzn","OPTIMAL_SOLUTION","29.192799157986883","205652","raw","0","","2","116","minimize","11951","865256","0","2.4269","21.8077","260","11950","1.1449","0","394629","0","146512","0","0","18304","342655"
"mzn_sat-open_wbo-order-{'f_SAT_fzn_disjunctive_order_alternative': True}","jsswet","jsswet.mzn","jsswet_la33.dzn","UNKNOWN","744.4251445319969","1531321","raw","0","","0","","minimize","75494","12799730","0","600.2302","113.362","540","75493","13.5901","0","2982190","0","1281113","0","0","55403","4585394"
"mzn_sat-open_wbo-mixed-{'f_SAT_fzn_disjunctive_order_alternative': True, 'f_slack_channel': 'INEQUALITY'}","jsswet","jsswet.mzn","jsswet_swv13.dzn","ERROR","","","raw","","MiniZinc stopped with a non-zero exit code, but did not output an error message. ","","","","","","","","","","","","","","","","","","",""
"mzn_sat-open_wbo-order-{'f_SAT_fzn_disjunctive_order_alternative': True}","jsswet","jsswet.mzn","jsswet_abz9.dzn","OPTIMAL_SOLUTION","70.74161887704395","509218","raw","0","","2","26","minimize","19927","1912011","0","13.4844","45.5241","560","19926","2.8031","0","961544","0","363534","0","0","49631","829291"
"mzn_sat-open_wbo-mixed-{'f_SAT_fzn_disjunctive_order_alternative': True, 'f_slack_channel': 'INEQUALITY'}","jsswet","jsswet.mzn","jsswet_la24.dzn","OPTIMAL_SOLUTION","48.871447019977495","332639","raw","0","","2","58","minimize","18626","1418194","0","5.4798","35.3943","390","18625","1.9358","0","647510","0","236129","0","0","28287","562266"
"mzn_sat-open_wbo-mixed-{'f_SAT_fzn_disjunctive_order_alternative': True, 'f_slack_channel': 'INEQUALITY'}","jsswet","jsswet.mzn","jsswet_orb04.dzn","OPTIMAL_SOLUTION","31.95174699695781","240378","raw","0","","2","10","minimize","13132","1009578","0","2.2043","24.1551","260","13131","1.3249","0","461620","0","169998","0","0","19950","399796"
"mzn_sat-open_wbo-binary","jsswet","jsswet.mzn","jsswet_abz7.dzn","SATISFIED","608.0391123309964","12126","raw","0","","2","3735","minimize","513","1028725","0","600.1975","6.47255","6419","512","0.8957","0","15066","0","264538","0","0","","424447"
"mzn_sat-open_wbo-order-{'f_SAT_fzn_disjunctive_order_alternative': True}","jsswet","jsswet.mzn","jsswet_ft06.dzn","OPTIMAL_SOLUTION","0.6975133619853295","4678","raw","0","","2","2","minimize","455","16126","0","0.0276","0.550147","60","454","0.0191","0","8276","0","3543","0","0","200","7419"
"mzn_sat-open_wbo-order-{'f_SAT_fzn_disjunctive_order_alternative': True}","jsswet","jsswet.mzn","jsswet_orb03.dzn","OPTIMAL_SOLUTION","30.513073149020784","235105","raw","0","","2","69","minimize","14466","872399","0","4.175099","21.0776","180","14465","1.2587","0","441363","0","168532","0","0","24832","383475"
"mzn_sat-open_wbo-mixed-{'f_SAT_fzn_disjunctive_order_alternative': True, 'f_slack_channel': 'INEQUALITY'}","jsswet","jsswet.mzn","jsswet_swv01.dzn","OPTIMAL_SOLUTION","136.00840325898025","937740","raw","0","","2","99","minimize","47625","4176757","0","34.3844","76.6025","520","47624","6.096","0","1872496","0","661088","0","0","47828","1648986"
"mzn_sat-open_wbo-binary","jsswet","jsswet.mzn","jsswet_la04.dzn","OPTIMAL_SOLUTION","1.373043678002432","1473","raw","0","","2","205","minimize","260","112256","0","0.5311","0.647476","610","259","0.1138","0","2050","0","27179","0","0","","46038"
"mzn_sat-open_wbo-binary","jsswet","jsswet.mzn","jsswet_la28.dzn","SATISFIED","606.0553438159986","8534","raw","0","","2","251","minimize","569","864777","0","600.1745","4.72228","4319","568","0.8197","0","10147","0","215956","0","0","","355365"
"mzn_sat-open_wbo-order-{'f_SAT_fzn_disjunctive_order_alternative': True}","jsswet","jsswet.mzn","jsswet_orb06.dzn","OPTIMAL_SOLUTION","30.38013762002811","232578","raw","0","","2","26","minimize","14190","850327","0","3.0635","22.0977","180","14189","1.2371","0","431472","0","168741","0","0","22399","375825"
"mzn_sat-open_wbo-mixed-{'f_SAT_fzn_disjunctive_order_alternative': True, 'f_slack_channel': 'EQUALITY'}","jsswet","jsswet.mzn","jsswet_la24.dzn","OPTIMAL_SOLUTION","43.05939336499432","322643","raw","0","","2","58","minimize","18626","1194359","0","5.6379","30.2498","270","18625","1.7373","0","603868","0","235784","0","0","28287","528275"
"mzn_sat-open_wbo-mixed-{'f_SAT_fzn_disjunctive_order_alternative': True, 'f_slack_channel': 'EQUALITY'}","jsswet","jsswet.mzn","jsswet_la16.dzn","OPTIMAL_SOLUTION","27.688407810986973","220871","raw","0","","2","49","minimize","12423","801930","0","2.094599","20.62","180","12422","1.1891","0","406902","0","160985","0","0","17993","354819"
"mzn_sat-open_wbo-mixed-{'f_SAT_fzn_disjunctive_order_alternative': True, 'f_slack_channel': 'DOUBLE_INEQUALITY'}","jsswet","jsswet.mzn","jsswet_la15.dzn","SATISFIED","650.2843224470271","407670","raw","0","","2","4058","minimize","35086","2257903","0","601.0937","39.9013","400","35085","2.6689","0","854649","0","283342","0","0","6436","778592"
