"configuration","problem","model","data_file","status","time","run","objective"
"chuffed-free","tablelayout","TableLayout.mzn","6591.dzn","","202.55","raw","8023"
"chuffed-free","tablelayout","TableLayout.mzn","6591.dzn","","202.63","raw","8022"
"chuffed-free","tablelayout","TableLayout.mzn","6591.dzn","","202.72","raw","8021"
"chuffed-free","tablelayout","TableLayout.mzn","6591.dzn","","202.8","raw","8020"
"chuffed-free","tablelayout","TableLayout.mzn","6591.dzn","","202.88","raw","8019"
"chuffed-free","tablelayout","TableLayout.mzn","6591.dzn","","202.97","raw","8018"
"chuffed-free","tablelayout","TableLayout.mzn","6591.dzn","","203.07","raw","8017"
"chuffed-free","tablelayout","TableLayout.mzn","6591.dzn","","203.15","raw","8016"
"chuffed-free","tablelayout","TableLayout.mzn","6591.dzn","","203.23","raw","8015"
"chuffed-free","tablelayout","TableLayout.mzn","6591.dzn","","203.32","raw","8014"
"chuffed-free","tablelayout","TableLayout.mzn","6591.dzn","","203.4","raw","8013"
"chuffed-free","tablelayout","TableLayout.mzn","6591.dzn","","203.48","raw","8012"
"chuffed-free","tablelayout","TableLayout.mzn","6591.dzn","","203.58","raw","8011"
"chuffed-free","tablelayout","TableLayout.mzn","6591.dzn","","203.67","raw","8010"
"chuffed-free","tablelayout","TableLayout.mzn","6591.dzn","","203.75","raw","8009"
"chuffed-free","tablelayout","TableLayout.mzn","6591.dzn","","203.83","raw","8008"
"chuffed-free","tablelayout","TableLayout.mzn","6591.dzn","","203.92","raw","8007"
"chuffed-free","tablelayout","TableLayout.mzn","6591.dzn","","204.0","raw","8006"
"chuffed-free","tablelayout","TableLayout.mzn","6591.dzn","","204.1","raw","8005"
"chuffed-free","tablelayout","TableLayout.mzn","6591.dzn","","204.18","raw","8004"
"chuffed-free","tablelayout","TableLayout.mzn","6591.dzn","","204.27","raw","8003"
"chuffed-free","tablelayout","TableLayout.mzn","6591.dzn","","204.35","raw","8002"
"chuffed-free","tablelayout","TableLayout.mzn","6591.dzn","","204.43","raw","8001"
"chuffed-free","tablelayout","TableLayout.mzn","6591.dzn","","204.52","raw","8000"
"chuffed-free","tablelayout","TableLayout.mzn","6591.dzn","","204.62","raw","7999"
"chuffed-free","tablelayout","TableLayout.mzn","6591.dzn","","204.7","raw","7998"
"chuffed-free","tablelayout","TableLayout.mzn","6591.dzn","","204.78","raw","7997"
"chuffed-free","tablelayout","TableLayout.mzn","6591.dzn","","204.87","raw","7996"
"chuffed-free","tablelayout","TableLayout.mzn","6591.dzn","","204.95","raw","7995"
"chuffed-free","tablelayout","TableLayout.mzn","6591.dzn","","205.03","raw","7994"
"chuffed-free","tablelayout","TableLayout.mzn","6591.dzn","","205.13","raw","7993"
"chuffed-free","tablelayout","TableLayout.mzn","6591.dzn","","205.22","raw","7992"
"chuffed-free","tablelayout","TableLayout.mzn","6591.dzn","","205.3","raw","7991"
"chuffed-free","tablelayout","TableLayout.mzn","6591.dzn","","205.38","raw","7990"
"chuffed-free","tablelayout","TableLayout.mzn","6591.dzn","","205.47","raw","7989"
"chuffed-free","tablelayout","TableLayout.mzn","6591.dzn","","205.55","raw","7988"
"chuffed-free","tablelayout","TableLayout.mzn","6591.dzn","","205.65","raw","7987"
