"configuration","problem","model","data_file","status","time","failures","nSolutions","peakDepth","restarts","paths","nogoods","randomSeed","evaluatedReifiedConstraints","trailMem","baseMem","backjumps","optTime","solutions","variables","run","method","flatIntConstraints","propagators","intVars","objective","peakMem","flatBoolConstraints","processFlatZincTime","flatIntVars","flatTime","flatBoolVars","solveTime","initTime","boolVariables","nodes","propagations"
"chuffed","jsswet","jsswet.mzn","jsswet_la01.dzn","OPTIMAL_SOLUTION","30.493508144980296","334","1092","685","1094","0","334","1630286181","","1.41","0.0","5789","30.209","","353214","raw","minimize","76","543","82","127","0.0","","","81","0.050527","","30.21","0.062","353130","233513","6987630"
"picat_sat","jsswet","jsswet.mzn","jsswet_la31.dzn","SATISFIED","600.2741213919944","","6","","","0","","","8700","","","","","","","raw","minimize","9061","","","226775","","4350","-0.031637034000907116","391","0.395116","8700","599.9106424259953","","","",""
"gecode","jsswet","jsswet.mzn","jsswet_abz6.dzn","SATISFIED","600.0405001569889","33946802","447","86","0","0","","","","","","","","447","131","raw","minimize","131","129","","12124","","","","131","0.058668","","599.935","0.001116","","67897822","1063354380"
"chuffed","jsswet","jsswet.mzn","jsswet_la33.dzn","SATISFIED","600.1034804599476","","316","","","0","","","","","","","","","","raw","minimize","371","","","40122740","","","","391","0.087753","","","","","",""
"picat_sat","jsswet","jsswet.mzn","jsswet_la36.dzn","OPTIMAL_SOLUTION","352.373461184965","","13","","","0","","","3150","","","","","","","raw","minimize","3406","","","54448","","1575","0.1875789659990929","271","0.1759","3150","352.0099822189659","","","",""
"chuffed","jsswet","jsswet.mzn","jsswet_la29.dzn","SATISFIED","600.098714672029","","1583","","","0","","","","","","","","","","raw","minimize","251","","","126240","","","","261","0.065778","","","","","",""
"gecode","jsswet","jsswet.mzn","jsswet_swv11.dzn","SATISFIED","600.0653383840108","302445","22974","351","0","0","","","","","","","","22974","651","raw","minimize","611","605","","219433","","","","651","0.11815","","599.877","0.004342","","1330465","17990822"
"picat_sat","jsswet","jsswet.mzn","jsswet_swv12.dzn","SATISFIED","600.5530908099608","","5","","","0","","","24500","","","","","","","raw","minimize","25101","","","726522","","12250","-0.6767010340009072","651","1.04018","24500","600.1896118439618","","","",""
"chuffed","jsswet","jsswet.mzn","jsswet_la32.dzn","SATISFIED","600.161703463993","","1583","","","0","","","","","","","","","","raw","minimize","371","","","32524914","","","","391","0.084462","","","","","",""
"picat_sat","jsswet","jsswet.mzn","jsswet_swv06.dzn","UNSATISFIABLE","26.086569231003523","","0","","","0","","","5700","","","","","","","raw","minimize","6041","","","","","2850","0.0763369659990929","361","0.287142","5700","25.72309026500443","","","",""
"gecode","jsswet","jsswet.mzn","jsswet_la06.dzn","SATISFIED","600.0437631550012","9834837","214","65","0","0","","","","","","","","214","121","raw","minimize","111","111","","48313","","","","121","0.050768","","599.944","0.001079","","19670354","346095852"
"chuffed","jsswet","jsswet.mzn","jsswet_vw3x3.dzn","OPTIMAL_SOLUTION","0.11720861698267981","200","5","34","7","0","200","1630290053","","0.08","0.0","32","0.015","","7021","raw","minimize","19","45","20","0","0.0","","","19","0.045883","","0.015","0.006","6999","368","3974"
"chuffed","jsswet","jsswet.mzn","jsswet_swv14.dzn","SATISFIED","600.2435194919817","","263","","","0","","","","","","","","","","raw","minimize","611","","","5867476","","","","651","0.117397","","","","","",""
"gecode","jsswet","jsswet.mzn","jsswet_la26.dzn","SATISFIED","600.0438654450118","11254469","2034","161","0","0","","","","","","","","2034","261","raw","minimize","251","247","","51183","","","","261","0.064242","","599.93","0.001943","","22544735","252077047"
