"configuration","problem","model","data_file","status","time","run","objective"
"mzn_sat-open-wbo-direct-order-direct","orienteering","orienteering.mzn","orienteering_easy_2.dzn","","2.02","raw","628"
"mzn_sat-open-wbo-binary-binary-binary","orienteering","orienteering.mzn","orienteering_n_medium_2.dzn","","601.57","raw","1053"
"mzn_sat-open-wbo-direct-order-binary","orienteering","orienteering.mzn","orienteering_medium_5.dzn","","602.32","raw","464"
"mzn_sat-open-wbo-direct-order-binary","orienteering","orienteering.mzn","orienteering_medium_5.dzn","","602.35","raw","464"
"mzn_sat-open-wbo-binary-binary-binary","orienteering","orienteering.mzn","orienteering_medium_4.dzn","","601.51","raw","1070"
"mzn_sat-open-wbo-direct-order-binary","orienteering","orienteering.mzn","orienteering_t_hard_5.dzn","","88.08","raw","4482"
"mzn_sat-open-wbo-direct-order-binary","orienteering","orienteering.mzn","orienteering_t_hard_5.dzn","","88.1","raw","4482"
"mzn_sat-open-wbo-direct-order-binary","orienteering","orienteering.mzn","orienteering_n_medium_2.dzn","","330.87","raw","1053"
"mzn_sat-open-wbo-direct-order-binary","orienteering","orienteering.mzn","orienteering_n_medium_2.dzn","","330.88","raw","1053"
"mzn_sat-open-wbo-order-order-order","orienteering","orienteering.mzn","orienteering_n_medium_5.dzn","","606.88","raw","20"
"mzn_sat-open-wbo-order-order-order","orienteering","orienteering.mzn","orienteering_n_medium_5.dzn","","606.95","raw","20"
"mzn_sat-open-wbo-direct-direct-direct","orienteering","orienteering.mzn","orienteering_n_medium_5.dzn","","605.65","raw","378"
"mzn_sat-open-wbo-direct-direct-direct","orienteering","orienteering.mzn","orienteering_n_medium_5.dzn","","605.71","raw","378"
"mzn_sat-open-wbo-direct-direct-direct","orienteering","orienteering.mzn","orienteering_medium_3.dzn","","606.3","raw","112"
"mzn_sat-open-wbo-direct-direct-direct","orienteering","orienteering.mzn","orienteering_medium_3.dzn","","606.35","raw","112"
"mzn_sat-open-wbo-binary-binary-binary","orienteering","orienteering.mzn","orienteering_n_medium_5.dzn","","601.65","raw","254"
"mzn_sat-open-wbo-direct-order-order","orienteering","orienteering.mzn","orienteering_n_medium_3.dzn","","605.91","raw","212"
"mzn_sat-open-wbo-direct-order-order","orienteering","orienteering.mzn","orienteering_n_medium_3.dzn","","605.94","raw","212"
"mzn_sat-open-wbo-direct-order-binary","orienteering","orienteering.mzn","orienteering_easy_2.dzn","","0.45","raw","628"
"mzn_sat-open-wbo-direct-order-binary","orienteering","orienteering.mzn","orienteering_easy_2.dzn","","0.45","raw","628"
