"configuration","problem","model","data_file","status","time","nClauseVariables","error","bimanderTotalOffset","bimanderTotalN","bimanderCount","paths","method","flatBoolConstraints","nVariables","flatBoolVars","evaluatedReifiedConstraints","run","bimanderTotalM","solveTime","bimanderTotalAbsoluteBalance","flatTime","nSolutions","processFlatZincTime","nClauses"
"mzn-sat-glucose-direct+order-binary","knights","../../libminizinc/thesis/benchmarks/minizinc-benchmarks/knights_circuit/knights_circuit.mzn","n=20;m=20;holes={}","UNKNOWN","1201.0380545849912","287052","","0","0","0","0","satisfy","100373","15407","15373","38489","/home/hbierlee/Projects/mzn-bench/results/2021-05-17-knights/raw","0","1185.6128","0","14.5077","","0.3119","100121"
"mzn-sat-glucose-direct-order","knights","../../libminizinc/thesis/benchmarks/minizinc-benchmarks/knights_circuit/knights_circuit.mzn","n=22;m=22;holes={}","ERROR","","","MiniZinc stopped with a non-zero exit code, but did not output an error message. ","","","","","","","","","","/home/hbierlee/Projects/mzn-bench/results/2021-05-17-knights/raw","","","","","","",""
"mzn-sat-lingeling-direct+order-binary","knights","../../libminizinc/thesis/benchmarks/minizinc-benchmarks/knights_circuit/knights_circuit.mzn","n=20;m=20;holes={}","UNKNOWN","1201.0418901799712","287052","","0","0","0","0","satisfy","100373","15407","15373","38489","/home/hbierlee/Projects/mzn-bench/results/2021-05-17-knights/raw","0","1184.6424","0","15.4812","","0.3121","100121"
"mzn-sat-clasp-direct+order-order","knights","../../libminizinc/thesis/benchmarks/minizinc-benchmarks/knights_circuit/knights_circuit.mzn","n=08;m=08;holes={}","SATISFIED","3.634418347850442","142820","","0","0","0","0","satisfy","53806","4429","4430","2362","/home/hbierlee/Projects/mzn-bench/results/2021-05-17-knights/raw","0","0.0899","0","3.09688","1","0.2118","52180"
"mzn-sat-glucose-direct-direct","knights","../../libminizinc/thesis/benchmarks/minizinc-benchmarks/knights_circuit/knights_circuit.mzn","n=12;m=12;holes={}","SATISFIED","67.58869773708284","1102589","","0","0","0","0","satisfy","251557","37541","21170","7974","/home/hbierlee/Projects/mzn-bench/results/2021-05-17-knights/raw","0","55.1899","0","10.3975","2","0.968","399339"
"mzn-sat-lingeling-direct+order-binary","knights","../../libminizinc/thesis/benchmarks/minizinc-benchmarks/knights_circuit/knights_circuit.mzn","n=18;m=18;holes={}","UNKNOWN","1201.0385262288619","233160","","0","0","0","0","satisfy","82171","12351","12353","28479","/home/hbierlee/Projects/mzn-bench/results/2021-05-17-knights/raw","0","1188.7444","0","11.3774","","0.2384","81891"
"mzn-sat-glucose-direct+order-order","knights","../../libminizinc/thesis/benchmarks/minizinc-benchmarks/knights_circuit/knights_circuit.mzn","n=16;m=16;holes={}","SATISFIED","138.45136420219205","2930660","","0","0","0","0","satisfy","1051822","67821","67598","18578","/home/hbierlee/Projects/mzn-bench/results/2021-05-17-knights/raw","0","78.2881","0","51.9925","2","3.2582","1045204"
"mzn-sat-clasp-direct+order-order","knights","../../libminizinc/thesis/benchmarks/minizinc-benchmarks/knights_circuit/knights_circuit.mzn","n=10;m=10;holes={}","SATISFIED","8.66221295692958","388748","","0","0","0","0","satisfy","143026","10665","10634","4640","/home/hbierlee/Projects/mzn-bench/results/2021-05-17-knights/raw","0","0.1859","0","7.46023","1","0.3628","140464"
"mzn-sat-glucose-direct-binary","knights","../../libminizinc/thesis/benchmarks/minizinc-benchmarks/knights_circuit/knights_circuit.mzn","n=20;m=20;holes={}","UNKNOWN","1201.043498664163","280782","","0","0","0","0","satisfy","91463","13904","13044","38489","/home/hbierlee/Projects/mzn-bench/results/2021-05-17-knights/raw","0","1187.072","0","13.0531","","0.2997","96986"
"mzn-sat-clasp-direct-direct","knights","../../libminizinc/thesis/benchmarks/minizinc-benchmarks/knights_circuit/knights_circuit.mzn","n=20;m=20;holes={}","UNKNOWN","1201.2932707308792","","","","","","0","satisfy","2183589","","161522","35710","/home/hbierlee/Projects/mzn-bench/results/2021-05-17-knights/raw","","","","87.5219","","",""
